,Percentage,Attendees,Medal,Gold,Team,Sport,Year
930,0.0,3,0,0,Mexico,Golf,2016
931,0.0,3,0,0,Norway,Golf,2016
932,0.0,3,0,0,Vietnam,Gymnastics,2016
933,0.0,3,0,0,Ecuador,Judo,2016
934,0.0,3,0,0,Morocco,Judo,2016
935,0.0,3,0,0,North Korea,Judo,2016
936,0.0,3,0,0,Switzerland,Judo,2016
937,0.0,3,0,0,Czech Republic,Modern Pentathlon,2016
938,0.0,3,0,0,Egypt,Modern Pentathlon,2016
939,0.0,3,0,0,Japan,Modern Pentathlon,2016
940,0.0,3,0,0,Lithuania,Modern Pentathlon,2016
941,0.0,3,0,0,South Korea,Modern Pentathlon,2016
942,0.0,3,0,0,United States,Modern Pentathlon,2016
943,0.0,3,0,0,Austria,Rowing,2016
944,0.0,3,0,0,Hungary,Rowing,2016
945,0.0,3,0,0,Tunisia,Rowing,2016
946,0.0,3,0,0,Algeria,Sailing,2016
947,0.0,3,0,0,Angola,Sailing,2016
948,0.0,3,0,0,Aruba,Sailing,2016
949,0.0,3,0,0,Czech Republic,Sailing,2016
950,0.0,3,0,0,Mexico,Sailing,2016
951,0.0,3,0,0,Seychelles,Sailing,2016
952,0.0,3,0,0,South Africa,Sailing,2016
953,0.0,3,0,0,Ukraine,Sailing,2016
954,0.0,3,0,0,Canada,Shooting,2016
955,0.0,3,0,0,Malta,Shooting,2016
956,0.0,3,0,0,San Marino,Shooting,2016
957,0.0,3,0,0,Slovenia,Shooting,2016
958,0.0,3,0,0,United Arab Emirates,Shooting,2016
959,0.0,3,0,0,Venezuela,Shooting,2016
960,0.0,3,0,0,Chile,Swimming,2016
961,0.0,3,0,0,Ecuador,Swimming,2016
962,0.0,3,0,0,Guatemala,Swimming,2016
963,0.0,3,0,0,Mexico,Swimming,2016
964,0.0,3,0,0,Uzbekistan,Swimming,2016
965,0.0,3,0,0,Zimbabwe,Swimming,2016
966,0.0,3,0,0,Belarus,Table Tennis,2016
967,0.0,3,0,0,Congo (Brazzaville),Table Tennis,2016
968,0.0,3,0,0,Hungary,Table Tennis,2016
969,0.0,3,0,0,Iran,Table Tennis,2016
970,0.0,3,0,0,Russia,Table Tennis,2016
971,0.0,3,0,0,Slovakia,Table Tennis,2016
972,0.0,3,0,0,Spain,Table Tennis,2016
973,0.0,3,0,0,Thailand,Table Tennis,2016
974,0.0,3,0,0,Belgium,Taekwondo,2016
975,0.0,3,0,0,Chinese Taipei,Taekwondo,2016
976,0.0,3,0,0,Croatia,Taekwondo,2016
977,0.0,3,0,0,Kazakhstan,Taekwondo,2016
978,0.0,3,0,0,Morocco,Taekwondo,2016
979,0.0,3,0,0,Uzbekistan,Taekwondo,2016
980,0.0,3,0,0,Chinese Taipei,Tennis,2016
981,0.0,3,0,0,Colombia,Tennis,2016
982,0.0,3,0,0,Hungary,Tennis,2016
983,0.0,3,0,0,Kazakhstan,Tennis,2016
984,0.0,3,0,0,Japan,Trampolining,2016
985,0.0,3,0,0,Russia,Trampolining,2016
986,0.0,3,0,0,Austria,Triathlon,2016
987,0.0,3,0,0,Portugal,Triathlon,2016
988,0.0,3,0,0,Dominican Republic,Weightlifting,2016
989,0.0,3,0,0,Ecuador,Weightlifting,2016
990,0.0,3,0,0,Moldova,Weightlifting,2016
991,0.0,3,0,0,Poland,Weightlifting,2016
992,0.0,3,0,0,Algeria,Wrestling,2016
993,0.0,3,0,0,Australia,Wrestling,2016
994,0.0,3,0,0,Cameroon,Wrestling,2016
995,0.0,3,0,0,Estonia,Wrestling,2016
996,0.0,3,0,0,Finland,Wrestling,2016
997,0.0,3,0,0,Moldova,Wrestling,2016
998,0.0,3,0,0,Morocco,Wrestling,2016
999,1.0,2,2,2,Indonesia-1,Badminton,2016
1000,1.0,2,2,2,Germany-1,Beach Volleyball,2016
1001,1.0,2,2,0,Italy-1,Beach Volleyball,2016
1002,1.0,2,2,0,Czech Republic-1,Tennis,2016
1003,1.0,2,2,2,Russia-2,Tennis,2016
1004,0.5,2,1,0,Germany,Archery,2016
1005,0.5,2,1,1,Tajikistan,Athletics,2016
1006,0.5,2,1,1,Spain,Badminton,2016
1007,0.5,2,1,0,Croatia,Boxing,2016
1008,0.5,2,1,0,Malaysia,Cycling,2016
1009,0.5,2,1,1,Argentina,Judo,2016
1010,0.5,2,1,0,Colombia,Judo,2016
1011,0.5,2,1,1,Kosovo,Judo,2016
1012,0.5,2,1,1,Australia,Modern Pentathlon,2016
1013,0.5,2,1,0,Mexico,Modern Pentathlon,2016
1014,0.5,2,1,0,Serbia,Taekwondo,2016
1015,0.5,2,1,0,Turkey,Taekwondo,2016
1016,0.5,2,1,1,Canada,Trampolining,2016
1017,0.5,2,1,0,Philippines,Weightlifting,2016
1018,0.5,2,1,0,Italy,Wrestling,2016
1019,0.5,2,1,0,Norway,Wrestling,2016
1020,0.0,2,0,0,Canada,Archery,2016
1021,0.0,2,0,0,Egypt,Archery,2016
1022,0.0,2,0,0,Finland,Archery,2016
1023,0.0,2,0,0,Great Britain,Archery,2016
1024,0.0,2,0,0,Kazakhstan,Archery,2016
1025,0.0,2,0,0,Slovakia,Archery,2016
1026,0.0,2,0,0,Tonga,Archery,2016
1027,0.0,2,0,0,Turkey,Archery,2016
1028,0.0,2,0,0,Venezuela,Archery,2016
1029,0.0,2,0,0,Afghanistan,Athletics,2016
1030,0.0,2,0,0,Albania,Athletics,2016
1031,0.0,2,0,0,American Samoa,Athletics,2016
1032,0.0,2,0,0,Angola,Athletics,2016
1033,0.0,2,0,0,Bangladesh,Athletics,2016
1034,0.0,2,0,0,Belize,Athletics,2016
1035,0.0,2,0,0,Benin,Athletics,2016
1036,0.0,2,0,0,Bermuda,Athletics,2016
1037,0.0,2,0,0,Brunei,Athletics,2016
1038,0.0,2,0,0,Burkina Faso,Athletics,2016
1039,0.0,2,0,0,Cambodia,Athletics,2016
1040,0.0,2,0,0,Cameroon,Athletics,2016
1041,0.0,2,0,0,Cape Verde,Athletics,2016
1042,0.0,2,0,0,Cayman Islands,Athletics,2016
1043,0.0,2,0,0,Central African Republic,Athletics,2016
1044,0.0,2,0,0,Chad,Athletics,2016
1045,0.0,2,0,0,Comoros,Athletics,2016
1046,0.0,2,0,0,Congo (Brazzaville),Athletics,2016
1047,0.0,2,0,0,Congo (Kinshasa),Athletics,2016
1048,0.0,2,0,0,Cook Islands,Athletics,2016
1049,0.0,2,0,0,Dominica,Athletics,2016
1050,0.0,2,0,0,El Salvador,Athletics,2016
1051,0.0,2,0,0,Federated States of Micronesia,Athletics,2016
1052,0.0,2,0,0,Fiji,Athletics,2016
1053,0.0,2,0,0,Gabon,Athletics,2016
1054,0.0,2,0,0,Gambia,Athletics,2016
1055,0.0,2,0,0,Guam,Athletics,2016
1056,0.0,2,0,0,Guinea,Athletics,2016
1057,0.0,2,0,0,Guinea Bissau,Athletics,2016
1058,0.0,2,0,0,Hong Kong,Athletics,2016
1059,0.0,2,0,0,Indonesia,Athletics,2016
1060,0.0,2,0,0,Kiribati,Athletics,2016
1061,0.0,2,0,0,Kosovo,Athletics,2016
1062,0.0,2,0,0,Lebanon,Athletics,2016
1063,0.0,2,0,0,Luxembourg,Athletics,2016
1064,0.0,2,0,0,Macedonia,Athletics,2016
1065,0.0,2,0,0,Madagascar,Athletics,2016
1066,0.0,2,0,0,Malawi,Athletics,2016
1067,0.0,2,0,0,Malaysia,Athletics,2016
1068,0.0,2,0,0,Maldives,Athletics,2016
1069,0.0,2,0,0,Mali,Athletics,2016
1070,0.0,2,0,0,Malta,Athletics,2016
1071,0.0,2,0,0,Marshall Islands,Athletics,2016
1072,0.0,2,0,0,Mauritania,Athletics,2016
1073,0.0,2,0,0,Montenegro,Athletics,2016
1074,0.0,2,0,0,Myanmar,Athletics,2016
1075,0.0,2,0,0,Nepal,Athletics,2016
1076,0.0,2,0,0,Niger,Athletics,2016
1077,0.0,2,0,0,Oman,Athletics,2016
1078,0.0,2,0,0,Pakistan,Athletics,2016
1079,0.0,2,0,0,Palestine,Athletics,2016
1080,0.0,2,0,0,Papua New Guinea,Athletics,2016
1081,0.0,2,0,0,Paraguay,Athletics,2016
1082,0.0,2,0,0,Saint Vincent and the Grenadines,Athletics,2016
1083,0.0,2,0,0,Samoa,Athletics,2016
1084,0.0,2,0,0,Sao Tome and Principe,Athletics,2016
1085,0.0,2,0,0,Senegal,Athletics,2016
1086,0.0,2,0,0,Seychelles,Athletics,2016
1087,0.0,2,0,0,Sierra Leone,Athletics,2016
1088,0.0,2,0,0,Singapore,Athletics,2016
1089,0.0,2,0,0,Solomon Islands,Athletics,2016
1090,0.0,2,0,0,Somalia,Athletics,2016
1091,0.0,2,0,0,Suriname,Athletics,2016
1092,0.0,2,0,0,Swaziland,Athletics,2016
1093,0.0,2,0,0,Syria,Athletics,2016
1094,0.0,2,0,0,Timor Leste,Athletics,2016
1095,0.0,2,0,0,Togo,Athletics,2016
1096,0.0,2,0,0,Tonga,Athletics,2016
1097,0.0,2,0,0,Turkmenistan,Athletics,2016
1098,0.0,2,0,0,United Arab Emirates,Athletics,2016
1099,0.0,2,0,0,Austria,Badminton,2016
1100,0.0,2,0,0,Belgium,Badminton,2016
1101,0.0,2,0,0,Brazil,Badminton,2016
1102,0.0,2,0,0,Canada,Badminton,2016
1103,0.0,2,0,0,Czech Republic,Badminton,2016
1104,0.0,2,0,0,Estonia,Badminton,2016
1105,0.0,2,0,0,France,Badminton,2016
1106,0.0,2,0,0,Indonesia-2,Badminton,2016
1107,0.0,2,0,0,Ireland,Badminton,2016
1108,0.0,2,0,0,Portugal,Badminton,2016
1109,0.0,2,0,0,Singapore,Badminton,2016
1110,0.0,2,0,0,Ukraine,Badminton,2016
1111,0.0,2,0,0,Vietnam,Badminton,2016
1112,0.0,2,0,0,Argentina,Beach Volleyball,2016
1113,0.0,2,0,0,Australia-1,Beach Volleyball,2016
1114,0.0,2,0,0,Australia-2,Beach Volleyball,2016
1115,0.0,2,0,0,Austria-1,Beach Volleyball,2016
1116,0.0,2,0,0,Austria-2,Beach Volleyball,2016
1117,0.0,2,0,0,Chile,Beach Volleyball,2016
1118,0.0,2,0,0,China,Beach Volleyball,2016
1119,0.0,2,0,0,Costa Rica,Beach Volleyball,2016
1120,0.0,2,0,0,Cuba,Beach Volleyball,2016
1121,0.0,2,0,0,Czech Republic,Beach Volleyball,2016
1122,0.0,2,0,0,Egypt,Beach Volleyball,2016
1123,0.0,2,0,0,Germany,Beach Volleyball,2016
1124,0.0,2,0,0,Germany-2,Beach Volleyball,2016
1125,0.0,2,0,0,Italy,Beach Volleyball,2016
1126,0.0,2,0,0,Italy-2,Beach Volleyball,2016
1127,0.0,2,0,0,Latvia,Beach Volleyball,2016
1128,0.0,2,0,0,Mexico,Beach Volleyball,2016
1129,0.0,2,0,0,Poland,Beach Volleyball,2016
1130,0.0,2,0,0,Poland-1,Beach Volleyball,2016
1131,0.0,2,0,0,Poland-2,Beach Volleyball,2016
1132,0.0,2,0,0,Qatar,Beach Volleyball,2016
1133,0.0,2,0,0,Russia,Beach Volleyball,2016
1134,0.0,2,0,0,Russia-1,Beach Volleyball,2016
1135,0.0,2,0,0,Russia-2,Beach Volleyball,2016
1136,0.0,2,0,0,Switzerland-1,Beach Volleyball,2016
1137,0.0,2,0,0,Switzerland-2,Beach Volleyball,2016
1138,0.0,2,0,0,Tunisia,Beach Volleyball,2016
1139,0.0,2,0,0,Venezuela,Beach Volleyball,2016
1140,0.0,2,0,0,Chinese Taipei,Boxing,2016
1141,0.0,2,0,0,Congo (Brazzaville),Boxing,2016
1142,0.0,2,0,0,Dominican Republic,Boxing,2016
1143,0.0,2,0,0,Hungary,Boxing,2016
1144,0.0,2,0,0,Japan,Boxing,2016
1145,0.0,2,0,0,Jordan,Boxing,2016
1146,0.0,2,0,0,Lesotho,Boxing,2016
1147,0.0,2,0,0,Lithuania,Boxing,2016
1148,0.0,2,0,0,Mauritius,Boxing,2016
1149,0.0,2,0,0,Namibia,Boxing,2016
1150,0.0,2,0,0,Philippines,Boxing,2016
1151,0.0,2,0,0,Poland,Boxing,2016
1152,0.0,2,0,0,Qatar,Boxing,2016
1153,0.0,2,0,0,Spain,Boxing,2016
1154,0.0,2,0,0,Tunisia,Boxing,2016
1155,0.0,2,0,0,Uganda,Boxing,2016
1156,0.0,2,0,0,Cook Islands,Canoeing,2016
1157,0.0,2,0,0,Egypt,Canoeing,2016
1158,0.0,2,0,0,Moldova,Canoeing,2016
1159,0.0,2,0,0,Palau,Canoeing,2016
1160,0.0,2,0,0,Samoa,Canoeing,2016
1161,0.0,2,0,0,South Africa,Canoeing,2016
1162,0.0,2,0,0,Turkey,Canoeing,2016
1163,0.0,2,0,0,Algeria,Cycling,2016
1164,0.0,2,0,0,Chile,Cycling,2016
1165,0.0,2,0,0,Chinese Taipei,Cycling,2016
1166,0.0,2,0,0,Croatia,Cycling,2016
1167,0.0,2,0,0,Ecuador,Cycling,2016
1168,0.0,2,0,0,Estonia,Cycling,2016
1169,0.0,2,0,0,Finland,Cycling,2016
1170,0.0,2,0,0,Israel,Cycling,2016
1171,0.0,2,0,0,Rwanda,Cycling,2016
1172,0.0,2,0,0,Serbia,Cycling,2016
1173,0.0,2,0,0,Slovakia,Cycling,2016
1174,0.0,2,0,0,Thailand,Cycling,2016
1175,0.0,2,0,0,Belarus,Diving,2016
1176,0.0,2,0,0,South Korea,Diving,2016
1177,0.0,2,0,0,Venezuela,Diving,2016
1178,0.0,2,0,0,Colombia,Equestrianism,2016
1179,0.0,2,0,0,Venezuela,Equestrianism,2016
1180,0.0,2,0,0,Algeria,Fencing,2016
1181,0.0,2,0,0,Colombia,Fencing,2016
1182,0.0,2,0,0,Czech Republic,Fencing,2016
1183,0.0,2,0,0,Greece,Fencing,2016
1184,0.0,2,0,0,Iran,Fencing,2016
1185,0.0,2,0,0,Argentina,Golf,2016
1186,0.0,2,0,0,Austria,Golf,2016
1187,0.0,2,0,0,Paraguay,Golf,2016
1188,0.0,2,0,0,Portugal,Golf,2016
1189,0.0,2,0,0,Switzerland,Golf,2016
1190,0.0,2,0,0,Australia,Gymnastics,2016
1191,0.0,2,0,0,Israel,Gymnastics,2016
1192,0.0,2,0,0,Belarus,Judo,2016
1193,0.0,2,0,0,Bulgaria,Judo,2016
1194,0.0,2,0,0,Chinese Taipei,Judo,2016
1195,0.0,2,0,0,Gabon,Judo,2016
1196,0.0,2,0,0,Greece,Judo,2016
1197,0.0,2,0,0,Iran,Judo,2016
1198,0.0,2,0,0,Kyrgyzstan,Judo,2016
1199,0.0,2,0,0,Latvia,Judo,2016
1200,0.0,2,0,0,Mexico,Judo,2016
1201,0.0,2,0,0,Puerto Rico,Judo,2016
1202,0.0,2,0,0,Refugee Olympic Athletes,Judo,2016
1203,0.0,2,0,0,Tajikistan,Judo,2016
1204,0.0,2,0,0,Turkmenistan,Judo,2016
1205,0.0,2,0,0,Argentina,Modern Pentathlon,2016
1206,0.0,2,0,0,Brazil,Modern Pentathlon,2016
1207,0.0,2,0,0,Canada,Modern Pentathlon,2016
1208,0.0,2,0,0,Cuba,Modern Pentathlon,2016
1209,0.0,2,0,0,Guatemala,Modern Pentathlon,2016
1210,0.0,2,0,0,Ireland,Modern Pentathlon,2016
1211,0.0,2,0,0,Kazakhstan,Modern Pentathlon,2016
1212,0.0,2,0,0,Algeria,Rowing,2016
1213,0.0,2,0,0,Angola,Rowing,2016
1214,0.0,2,0,0,Argentina,Rowing,2016
1215,0.0,2,0,0,Azerbaijan,Rowing,2016
1216,0.0,2,0,0,Bulgaria,Rowing,2016
1217,0.0,2,0,0,Egypt,Rowing,2016
1218,0.0,2,0,0,Indonesia,Rowing,2016
1219,0.0,2,0,0,Kazakhstan,Rowing,2016
1220,0.0,2,0,0,Mexico,Rowing,2016
1221,0.0,2,0,0,Paraguay,Rowing,2016
1222,0.0,2,0,0,Peru,Rowing,2016
1223,0.0,2,0,0,South Korea,Rowing,2016
1224,0.0,2,0,0,Thailand,Rowing,2016
1225,0.0,2,0,0,Turkey,Rowing,2016
1226,0.0,2,0,0,Vietnam,Rowing,2016
1227,0.0,2,0,0,Zimbabwe,Rowing,2016
1228,0.0,2,0,0,Belarus,Sailing,2016
1229,0.0,2,0,0,Bermuda,Sailing,2016
1230,0.0,2,0,0,Cook Islands,Sailing,2016
1231,0.0,2,0,0,Cyprus,Sailing,2016
1232,0.0,2,0,0,Hong Kong,Sailing,2016
1233,0.0,2,0,0,Lithuania,Sailing,2016
1234,0.0,2,0,0,Malaysia,Sailing,2016
1235,0.0,2,0,0,Peru,Sailing,2016
1236,0.0,2,0,0,Venezuela,Sailing,2016
1237,0.0,2,0,0,Azerbaijan,Shooting,2016
1238,0.0,2,0,0,Bolivia,Shooting,2016
1239,0.0,2,0,0,Cyprus,Shooting,2016
1240,0.0,2,0,0,Finland,Shooting,2016
1241,0.0,2,0,0,Guatemala,Shooting,2016
1242,0.0,2,0,0,Israel,Shooting,2016
1243,0.0,2,0,0,Malaysia,Shooting,2016
1244,0.0,2,0,0,Mexico,Shooting,2016
1245,0.0,2,0,0,Morocco,Shooting,2016
1246,0.0,2,0,0,Myanmar,Shooting,2016
1247,0.0,2,0,0,Oman,Shooting,2016
1248,0.0,2,0,0,Pakistan,Shooting,2016
1249,0.0,2,0,0,Panama,Shooting,2016
1250,0.0,2,0,0,Portugal,Shooting,2016
1251,0.0,2,0,0,Puerto Rico,Shooting,2016
1252,0.0,2,0,0,Qatar,Shooting,2016
1253,0.0,2,0,0,Saudi Arabia,Shooting,2016
1254,0.0,2,0,0,Sri Lanka,Shooting,2016
1255,0.0,2,0,0,Tunisia,Shooting,2016
1256,0.0,2,0,0,Albania,Swimming,2016
1257,0.0,2,0,0,Algeria,Swimming,2016
1258,0.0,2,0,0,Angola,Swimming,2016
1259,0.0,2,0,0,Antigua and Barbuda,Swimming,2016
1260,0.0,2,0,0,Aruba,Swimming,2016
1261,0.0,2,0,0,Azerbaijan,Swimming,2016
1262,0.0,2,0,0,Bahrain,Swimming,2016
1263,0.0,2,0,0,Bangladesh,Swimming,2016
1264,0.0,2,0,0,Barbados,Swimming,2016
1265,0.0,2,0,0,Benin,Swimming,2016
1266,0.0,2,0,0,Bermuda,Swimming,2016
1267,0.0,2,0,0,Bolivia,Swimming,2016
1268,0.0,2,0,0,Bosnia and Herzegovina,Swimming,2016
1269,0.0,2,0,0,Botswana,Swimming,2016
1270,0.0,2,0,0,Burkina Faso,Swimming,2016
1271,0.0,2,0,0,Burundi,Swimming,2016
1272,0.0,2,0,0,Cambodia,Swimming,2016
1273,0.0,2,0,0,Cayman Islands,Swimming,2016
1274,0.0,2,0,0,Central African Republic,Swimming,2016
1275,0.0,2,0,0,Chinese Taipei,Swimming,2016
1276,0.0,2,0,0,Comoros,Swimming,2016
1277,0.0,2,0,0,Congo (Brazzaville),Swimming,2016
1278,0.0,2,0,0,Cook Islands,Swimming,2016
1279,0.0,2,0,0,Cote d'Ivoire,Swimming,2016
1280,0.0,2,0,0,Cuba,Swimming,2016
1281,0.0,2,0,0,Cyprus,Swimming,2016
1282,0.0,2,0,0,Dominican Republic,Swimming,2016
1283,0.0,2,0,0,Estonia,Swimming,2016
1284,0.0,2,0,0,Ethiopia,Swimming,2016
1285,0.0,2,0,0,Federated States of Micronesia,Swimming,2016
1286,0.0,2,0,0,Fiji,Swimming,2016
1287,0.0,2,0,0,Georgia,Swimming,2016
1288,0.0,2,0,0,Ghana,Swimming,2016
1289,0.0,2,0,0,Grenada,Swimming,2016
1290,0.0,2,0,0,Guam,Swimming,2016
1291,0.0,2,0,0,Guinea,Swimming,2016
1292,0.0,2,0,0,Guyana,Swimming,2016
1293,0.0,2,0,0,Haiti,Swimming,2016
1294,0.0,2,0,0,Honduras,Swimming,2016
1295,0.0,2,0,0,India,Swimming,2016
1296,0.0,2,0,0,Individual Olympic Athletes,Swimming,2016
1297,0.0,2,0,0,Indonesia,Swimming,2016
1298,0.0,2,0,0,Jamaica,Swimming,2016
1299,0.0,2,0,0,Jordan,Swimming,2016
1300,0.0,2,0,0,Kenya,Swimming,2016
1301,0.0,2,0,0,Kosovo,Swimming,2016
1302,0.0,2,0,0,Kyrgyzstan,Swimming,2016
1303,0.0,2,0,0,Laos,Swimming,2016
1304,0.0,2,0,0,Latvia,Swimming,2016
1305,0.0,2,0,0,Lebanon,Swimming,2016
1306,0.0,2,0,0,Libya,Swimming,2016
1307,0.0,2,0,0,Liechtenstein,Swimming,2016
1308,0.0,2,0,0,Macedonia,Swimming,2016
1309,0.0,2,0,0,Madagascar,Swimming,2016
1310,0.0,2,0,0,Malawi,Swimming,2016
1311,0.0,2,0,0,Maldives,Swimming,2016
1312,0.0,2,0,0,Mali,Swimming,2016
1313,0.0,2,0,0,Malta,Swimming,2016
1314,0.0,2,0,0,Marshall Islands,Swimming,2016
1315,0.0,2,0,0,Mauritius,Swimming,2016
1316,0.0,2,0,0,Moldova,Swimming,2016
1317,0.0,2,0,0,Mongolia,Swimming,2016
1318,0.0,2,0,0,Montenegro,Swimming,2016
1319,0.0,2,0,0,Morocco,Swimming,2016
1320,0.0,2,0,0,Mozambique,Swimming,2016
1321,0.0,2,0,0,Myanmar,Swimming,2016
1322,0.0,2,0,0,Nepal,Swimming,2016
1323,0.0,2,0,0,Nicaragua,Swimming,2016
1324,0.0,2,0,0,Niger,Swimming,2016
1325,0.0,2,0,0,Nigeria,Swimming,2016
1326,0.0,2,0,0,Pakistan,Swimming,2016
1327,0.0,2,0,0,Palau,Swimming,2016
1328,0.0,2,0,0,Palestine,Swimming,2016
1329,0.0,2,0,0,Panama,Swimming,2016
1330,0.0,2,0,0,Paraguay,Swimming,2016
1331,0.0,2,0,0,Peru,Swimming,2016
1332,0.0,2,0,0,Philippines,Swimming,2016
1333,0.0,2,0,0,Qatar,Swimming,2016
1334,0.0,2,0,0,Rwanda,Swimming,2016
1335,0.0,2,0,0,Saint Vincent and the Grenadines,Swimming,2016
1336,0.0,2,0,0,Samoa,Swimming,2016
1337,0.0,2,0,0,Senegal,Swimming,2016
1338,0.0,2,0,0,Seychelles,Swimming,2016
1339,0.0,2,0,0,Sierra Leone,Swimming,2016
1340,0.0,2,0,0,Sri Lanka,Swimming,2016
1341,0.0,2,0,0,Sudan,Swimming,2016
1342,0.0,2,0,0,Suriname,Swimming,2016
1343,0.0,2,0,0,Syria,Swimming,2016
1344,0.0,2,0,0,Tajikistan,Swimming,2016
1345,0.0,2,0,0,Tanzania,Swimming,2016
1346,0.0,2,0,0,Thailand,Swimming,2016
1347,0.0,2,0,0,Togo,Swimming,2016
1348,0.0,2,0,0,Tonga,Swimming,2016
1349,0.0,2,0,0,Trinidad and Tobago,Swimming,2016
1350,0.0,2,0,0,Turkmenistan,Swimming,2016
1351,0.0,2,0,0,Uganda,Swimming,2016
1352,0.0,2,0,0,United Arab Emirates,Swimming,2016
1353,0.0,2,0,0,United States Virgin Islands,Swimming,2016
1354,0.0,2,0,0,Uruguay,Swimming,2016
1355,0.0,2,0,0,Zambia,Swimming,2016
1356,0.0,2,0,0,Argentina,Synchronized Swimming,2016
1357,0.0,2,0,0,Austria,Synchronized Swimming,2016
1358,0.0,2,0,0,Belarus,Synchronized Swimming,2016
1359,0.0,2,0,0,Canada,Synchronized Swimming,2016
1360,0.0,2,0,0,Colombia,Synchronized Swimming,2016
1361,0.0,2,0,0,Czech Republic,Synchronized Swimming,2016
1362,0.0,2,0,0,France,Synchronized Swimming,2016
1363,0.0,2,0,0,Great Britain,Synchronized Swimming,2016
1364,0.0,2,0,0,Greece,Synchronized Swimming,2016
1365,0.0,2,0,0,Israel,Synchronized Swimming,2016
1366,0.0,2,0,0,Kazakhstan,Synchronized Swimming,2016
1367,0.0,2,0,0,Mexico,Synchronized Swimming,2016
1368,0.0,2,0,0,Slovakia,Synchronized Swimming,2016
1369,0.0,2,0,0,Spain,Synchronized Swimming,2016
1370,0.0,2,0,0,Switzerland,Synchronized Swimming,2016
1371,0.0,2,0,0,United States,Synchronized Swimming,2016
1372,0.0,2,0,0,Canada,Table Tennis,2016
1373,0.0,2,0,0,Cuba,Table Tennis,2016
1374,0.0,2,0,0,Mexico,Table Tennis,2016
1375,0.0,2,0,0,Puerto Rico,Table Tennis,2016
1376,0.0,2,0,0,Turkey,Table Tennis,2016
1377,0.0,2,0,0,Ukraine,Table Tennis,2016
1378,0.0,2,0,0,Colombia,Taekwondo,2016
1379,0.0,2,0,0,Germany,Taekwondo,2016
1380,0.0,2,0,0,Papua New Guinea,Taekwondo,2016
1381,0.0,2,0,0,Poland,Taekwondo,2016
1382,0.0,2,0,0,Sweden,Taekwondo,2016
1383,0.0,2,0,0,Argentina-1,Tennis,2016
1384,0.0,2,0,0,Argentina-2,Tennis,2016
1385,0.0,2,0,0,Australia-1,Tennis,2016
1386,0.0,2,0,0,Australia-2,Tennis,2016
1387,0.0,2,0,0,Austria,Tennis,2016
1388,0.0,2,0,0,Belarus,Tennis,2016
1389,0.0,2,0,0,Bosnia and Herzegovina,Tennis,2016
1390,0.0,2,0,0,Brazil-1,Tennis,2016
1391,0.0,2,0,0,Brazil-2,Tennis,2016
1392,0.0,2,0,0,Bulgaria,Tennis,2016
1393,0.0,2,0,0,Chile,Tennis,2016
1394,0.0,2,0,0,China-1,Tennis,2016
1395,0.0,2,0,0,China-2,Tennis,2016
1396,0.0,2,0,0,Czech Republic-2,Tennis,2016
1397,0.0,2,0,0,Germany-1,Tennis,2016
1398,0.0,2,0,0,Germany-2,Tennis,2016
1399,0.0,2,0,0,Mexico,Tennis,2016
1400,0.0,2,0,0,New Zealand,Tennis,2016
1401,0.0,2,0,0,Romania-1,Tennis,2016
1402,0.0,2,0,0,Romania-2,Tennis,2016
1403,0.0,2,0,0,Russia-1,Tennis,2016
1404,0.0,2,0,0,Thailand,Tennis,2016
1405,0.0,2,0,0,Tunisia,Tennis,2016
1406,0.0,2,0,0,Ukraine-1,Tennis,2016
1407,0.0,2,0,0,Ukraine-2,Tennis,2016
1408,0.0,2,0,0,France,Trampolining,2016
1409,0.0,2,0,0,Portugal,Trampolining,2016
1410,0.0,2,0,0,United States,Trampolining,2016
1411,0.0,2,0,0,Argentina,Triathlon,2016
1412,0.0,2,0,0,Brazil,Triathlon,2016
1413,0.0,2,0,0,China,Triathlon,2016
1414,0.0,2,0,0,Germany,Triathlon,2016
1415,0.0,2,0,0,Ireland,Triathlon,2016
1416,0.0,2,0,0,Ukraine,Triathlon,2016
1417,0.0,2,0,0,Albania,Weightlifting,2016
1418,0.0,2,0,0,Algeria,Weightlifting,2016
1419,0.0,2,0,0,Australia,Weightlifting,2016
1420,0.0,2,0,0,Cameroon,Weightlifting,2016
1421,0.0,2,0,0,Canada,Weightlifting,2016
1422,0.0,2,0,0,Chile,Weightlifting,2016
1423,0.0,2,0,0,Cuba,Weightlifting,2016
1424,0.0,2,0,0,Fiji,Weightlifting,2016
